app,date,verified_purchase,rating,category,helpful_votes,review
Lookback,2024-03-08,true,4,user research,21,One-click export to Notion is a feature I use every week. Being able to rewatch sessions at 1.5x speed has saved me hours.
Dovetail,2023-12-19,true,5,research repository,38,My whole team can comment on the same session without chaos. Recording quality is excellent even on slow connections.
Fieldkit,2024-01-23,true,5,field research,5,Works offline and syncs when I get back to WiFi — essential for fieldwork.
Lookback,2024-11-08,false,5,user research,14,The guest access feature is perfect for external stakeholders. The session recording is crisp and easy to scrub through.
Fieldkit,2023-06-16,true,5,field research,23,Project folders keep multi-phase studies manageable. PDF reports look professional enough to share with executives.
Maze,2023-06-25,false,5,usability testing,34,I was running my first study within 20 minutes of signing up.
Dovetail,2023-08-23,false,4,research repository,2,The guest access feature is perfect for external stakeholders. CSV export includes everything I need for further analysis.
Miro,2024-08-03,true,3,collaborative whiteboard,45,"Works fine — nothing remarkable, nothing broken."
Miro,2024-07-28,true,4,collaborative whiteboard,34,Screener templates saved me from writing survey questions from scratch. I can tag clips without leaving the playback view.
Lookback,2024-05-20,false,4,user research,5,Battery drain is reasonable even during long observation sessions. Searching by tag across projects actually works reliably.
Fieldkit,2024-11-27,true,3,field research,27,Solid core product with rough edges in the advanced workflows.
Miro,2024-11-27,true,4,collaborative whiteboard,46,One-click export to Notion is a feature I use every week. I was running my first study within 20 minutes of signing up.
Lookback,2024-04-09,false,5,user research,0,The timeline view across a research program is genuinely useful. The highlight reel feature is genuinely useful for presentations.
Maze,2023-04-19,true,5,usability testing,40,Custom fields on participants let me filter by screener criteria.
Lookback,2024-07-06,false,5,user research,33,Bulk-tagging across sessions is a huge time saver.
Lookback,2023-11-11,true,4,user research,15,The session recording is crisp and easy to scrub through.
Lookback,2024-06-29,true,5,user research,8,Automatic session indexing makes it easy to find key moments.
Miro,2024-09-13,false,5,collaborative whiteboard,27,Bulk-tagging across sessions is a huge time saver.
Lookback,2024-02-13,true,5,user research,42,The onboarding checklist is paced well — not overwhelming.
Miro,2023-01-22,true,5,collaborative whiteboard,37,CSV export includes everything I need for further analysis. Recording quality is excellent even on slow connections.
Lookback,2024-10-08,true,3,user research,3,Good for solo researchers but team features need more polish.
Fieldkit,2023-08-08,true,5,field research,34,Session recordings sync instantly — no waiting around. Smart folders auto-populate based on tags — surprisingly powerful.
Lookback,2023-07-14,true,5,user research,6,Tag hierarchies let me keep themes organized across a whole study.
Miro,2023-02-25,true,4,collaborative whiteboard,43,Video clips export cleanly with timecodes intact.
Maze,2024-07-17,true,4,usability testing,6,Project folders keep multi-phase studies manageable.
Lookback,2023-08-07,false,5,user research,25,Being able to rewatch sessions at 1.5x speed has saved me hours. Battery drain is reasonable even during long observation sessions.
Dovetail,2024-04-10,true,4,research repository,18,PDF reports look professional enough to share with executives.
Lookback,2024-08-16,true,5,user research,47,The highlight reel feature is genuinely useful for presentations. The tagging workflow is intuitive once you get used to it.
Lookback,2023-02-10,true,3,user research,39,"Gets the job done, but the workflow has too many clicks for routine tasks."
Lookback,2023-09-02,true,4,user research,16,Permissions are granular enough that clients can view but not edit. The timeline view across a research program is genuinely useful.
Maze,2023-04-13,true,4,usability testing,4,Project folders keep multi-phase studies manageable. The voice memo feature captures context I'd otherwise lose.
Lookback,2023-03-12,true,3,user research,15,I've used it for two years. It's reliable but not exciting.
Dovetail,2024-10-31,true,4,research repository,33,GPS tagging for field observations is exactly what I needed.
Lookback,2023-05-18,true,4,user research,16,I was running my first study within 20 minutes of signing up.
Fieldkit,2023-07-28,true,5,field research,43,Bulk-tagging across sessions is a huge time saver. Permissions are granular enough that clients can view but not edit.
Maze,2023-02-15,true,4,usability testing,0,My whole team can comment on the same session without chaos. GPS tagging for field observations is exactly what I needed.
Dovetail,2024-07-18,true,5,research repository,45,Sharing clips with stakeholders takes about 30 seconds.
Fieldkit,2023-08-04,true,4,field research,43,Project folders keep multi-phase studies manageable.
Fieldkit,2023-06-08,false,4,field research,15,Battery drain is reasonable even during long observation sessions.
Dovetail,2023-12-07,false,5,research repository,26,Being able to rewatch sessions at 1.5x speed has saved me hours.
Dovetail,2023-04-21,false,3,research repository,24,Setup was smooth; ongoing use has revealed some rough edges.
Miro,2023-12-25,false,3,collaborative whiteboard,19,Good enough for most projects but I always end up exporting to a spreadsheet anyway.
Dovetail,2023-07-17,true,3,research repository,25,"Strong on data collection, weaker on synthesis."
Fieldkit,2024-02-14,false,5,field research,43,Permissions are granular enough that clients can view but not edit.
Lookback,2023-09-25,true,4,user research,11,The session recording is crisp and easy to scrub through.
Lookback,2024-03-22,true,3,user research,0,"Does what it says, though the interface feels dated."
