title,date,url,media_type,explanation
The Cartwheel Galaxy,2001-06-12,https://apod.nasa.gov/apod/image/0106/cartwheel_aao.jpg,image,"By chance, a collision of two galaxies has created a surprisingly recognizable shape on a cosmic scale.  The Cartwheel Galaxy is part of a group of galaxies about 500 million light years away in the constellation Sculptor.   Two smaller galaxies in the group are visible on the left of the above photograph.  The Cartwheel's rim is an immense ring-like structure 100,000 light years in diameter composed of newly formed, extremely bright, massive stars.  When galaxies collide, they pass through each other -- their individual stars rarely come into contact.  The galaxies' gravitational fields, however, may be greatly distorted by the collision.  In fact, the ring-like shape is the result of the gravitational disruption caused by a small intruder galaxy passing through a large one, compressing the interstellar gas and dust, and causing a wave of star formation wave to move out from the impact point like a ripple across the surface of a pond.  In this case, the large galaxy may have originally been a spiral, not unlike our own Milky Way Galaxy, transformed by the collision.  Recent astronomical detective work has indicated what has become of the intruder."
Movie: Analemma Over New Jersey,2007-12-04,https://apod.nasa.gov/apod/image/0712/analemma_matheson.jpg,image,"An analemma is that figure-8 curve that you get when you mark the position of the Sun at the same time each day throughout planet Earth's year. Above, 26 separate exposures were recorded to illustrate the regular solar motion -- a difficult project performed mostly during the calendar year 2006. The images were taken at 8 am in the morning in northern New Jersey, USA, and digitally combined with a single foreground image later. The individual images have since been combined into a movie. Solstices correspond to the top and bottom of the figure-8, indicating the northern and southernmost excursions of the Sun in the sky. The tilt of planet Earth's axis and the variation in speed as it moves around its orbit combine to produce the graceful analemma curve."
Perseid from Torralba del Burgo,2016-08-13,https://apod.nasa.gov/apod/image/1608/Perseid_Cabrerizo_MG_2805_1200.jpg,image,"Perseid meteors rained on planet Earth last night. This year the stream of dust from periodic comet Swift-Tuttle has produced a stunningly active shower of bright cosmic streaks. In this 25 second long exposure, one luminous Perseid trail, fast and colorful with a small explosion at the end, is witnessed by night skygazers from Torralba del Burgo, Soria, Spain. A second fainter meteor trail appears well below the first. The two can be extended to intersect at the meteor shower's radiant just above the brighter stars of the heroic constellation Perseus. Though the meteor shower's activity is waning, in the coming days Perseids will still flash through the night. But you won't see any if you don't go outside and look up."
Jupiter in Infrared from Gemini,2020-05-13,https://apod.nasa.gov/apod/image/2005/JupiterIR_Gemini_960.jpg,image,"In infrared, Jupiter lights up the night.  Recently, astronomers at the Gemini North Observatory in Hawaii, USA, created some of the best infrared photos of Jupiter ever taken from Earth’s surface, pictured.  Gemini was able to produce such a clear image using a technique called lucky imaging, by taking many images and combining only the clearest ones that, by chance, were taken when Earth's atmosphere was the most calm.  Jupiter’s jack-o’-lantern-like appearance is caused by the planet’s different layers of clouds.  Infrared light can pass through clouds better than visible light, allowing us to see deeper, hotter layers of Jupiter's atmosphere, while the thickest clouds appear dark.  These pictures, together with ones from the Hubble Space Telescope and the Juno spacecraft, can tell us a lot about weather patterns on Jupiter, like where its massive, planet-sized storms form.   Notable APOD Submissions: Flower Moon 2020"
Beagle Crater on Mars,2006-09-19,https://apod.nasa.gov/apod/image/0609/beaglecrater_opportunity.jpg,image,"What have we found on the way to large Victoria Crater?  Smaller Beagle Crater.  The robotic Opportunity rover rolling across Mars stopped at Beagle Crater early last month and took an impressively detailed 360-degree panorama of the alien Martian landscape.  Beagle crater appears in the center as a dip exposing relatively dark sand. Surrounding 35-meter Beagle Crater are many of the rocks ejected during its creation impact.  Opportunity's detailed images show significant erosion on the rocks and walls of Beagle Crater, indicating that the crater is not fresh. Beagle Crater's unofficial name derives from the ship HMS Beagle where Charles Darwin observations led him to postulate his theory of natural selection.  That ship was named after the dog breed of beagle.  Opportunity is scheduled to roll up to expansive Victoria Crater this week."
Nearby Cepheid Variable RS Pup,2018-08-29,https://apod.nasa.gov/apod/image/1808/RSPup_HubbleBond_960.jpg,image,"In the center is one of the most important stars on the sky. This is partly because, by coincidence, it is surrounded by a dazzling reflection nebula. Pulsating RS Puppis, the brightest star in the image center, is some ten times more massive than our Sun and on average 15,000 times more luminous. In fact, RS Pup is a Cepheid type variable star, a class of stars whose brightness is used to estimate distances to nearby galaxies as one of the first steps in establishing the cosmic distance scale. As RS Pup pulsates over a period of about 40 days, its regular changes in brightness are also seen along the nebula delayed in time, effectively a light echo. Using measurements of the time delay and angular size of the nebula, the known speed of light allows astronomers to geometrically determine the distance to RS Pup to be 6,500 light-years, with a remarkably small error of plus or minus 90 light-years. An impressive achievement for stellar astronomy, the echo-measured distance also more accurately establishes the true brightness of RS Pup, and by extension other Cepheid stars, improving the knowledge of distances to galaxies beyond the Milky Way. The featured image was taken by the Hubble Space Telescope."
PKS 1127-145: Quasar View,2002-02-08,https://apod.nasa.gov/apod/image/0202/pks1127_xray_opt.jpg,image,"The quasar known as PKS 1127-145 lies ten billion light-years from our fair planet. A Hubble Space Telescope view in the left panel shows this quasar along with other galaxies as they appear in optical light. The quasar itself is the brightest object in the lower right corner. In the right panel is a Chandra Observatory x-ray picture, exactly corresponding to the Hubble field. While the more ordinary galaxies are not seen in the Chandra image, a striking jet, nearly a million light-years long, emerges from the quasar to dominate the x-ray view. Bright in both optical and x-ray light, the quasar is thought to harbor a supermassive black hole which powers the jet and makes PKS 1127-145 visible across the spectrum -- a beacon from the distant cosmos."
Fleming's Triangular Wisp,2021-07-27,https://apod.nasa.gov/apod/image/2107/FlemingsTriangle_Saab_960.jpg,image,"Chaotic in appearance, these tangled filaments of shocked, glowing gas are spread across planet Earth's sky toward the constellation of Cygnus as part of the Veil Nebula. The Veil Nebula itself is a large supernova remnant, an expanding cloud born of the death explosion of a massive star. Light from the original supernova explosion likely reached Earth over 5,000 years ago. The glowing filaments are really more like long ripples in a sheet seen almost edge on, remarkably well separated into the glow of ionized hydrogen atoms shown in blue and oxygen in red hues. Also known as the Cygnus Loop and cataloged as NGC 6979, the Veil Nebula now spans about 6 times the diameter of the full Moon. The length of the wisp corresponds to about 30 light years, given its estimated distance of 2,400 light years.  Often identified as Pickering's Triangle for a director of Harvard College Observatory, it is also named for its discoverer, astronomer Williamina Fleming, as Fleming's Triangular Wisp."
Americans Defeat Russians in First Space Quidditch Match,2007-04-01,https://apod.nasa.gov/apod/image/0104/quiddich_sts92.jpg,image,"A historic first Space Quidditch match came to a spectacular conclusion last night as astronaut Michael Lopez-Alegria caught the Golden Snitch to give the Americans a hard fought victory over the Russians.  ""The Russians used brilliant strategy, but only NASA had the T2KQMU (Thunderbolt 2000 Quidditch Maneuvering Unit),"" commented Lopez-Alegria, pictured above squeezing the elusive Golden Snitch in his left hand. Happy April Fools Day from the folks at APOD.  In reality, Astronauts Jeff Wisoff and Lopez-Alegria are shown space-walking in 2001 October during a space shuttle mission to help build the International Space Station."
NGC 6888: The Crescent Nebula,2021-06-17,https://apod.nasa.gov/apod/image/2106/CrescentHOOcombinedFinalimage1024.jpg,image,"NGC 6888, also known as the Crescent Nebula, is a about 25 light-years across blown by winds from its central, bright, massive star. A triumvirate of astroimagers ( Joe, Glenn, Russell) created this sharp portrait of the cosmic bubble. Their telescopic collaboration collected over 30 hours of narrow band image data isolating light from hydrogen and oxygen atoms. The oxygen atoms produce the blue-green hue that seems to enshroud the detailed folds and filaments. Visible within the nebula, NGC 6888's central star is classified as a Wolf-Rayet star (WR 136). The star is shedding its outer envelope in a strong stellar wind, ejecting the equivalent of the Sun's mass every 10,000 years.  The nebula's complex structures are likely the result of this strong wind interacting with material ejected in an earlier phase. Burning fuel at a prodigious rate and near the end of its stellar life this star should ultimately go out with a bang in a spectacular supernova explosion. Found in the nebula rich constellation Cygnus, NGC 6888 is about 5,000 light-years away."
